Status,Progress,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,I16,I16-Timing_First Click,I16-Timing_Last Click,I16-Timing_Page Submit,I16-Timing_Click Count,I8,I8-Timing_First Click,I8-Timing_Last Click,I8-Timing_Page Submit,I8-Timing_Click Count,I24,I24-Timing_First Click,I24-Timing_Last Click,I24-Timing_Page Submit,I24-Timing_Click Count,I4,I4-Timing_First Click,I4-Timing_Last Click,I4-Timing_Page Submit,I4-Timing_Click Count,I20,I20-Timing_First Click,I20-Timing_Last Click,I20-Timing_Page Submit,I20-Timing_Click Count,I28,I28-Timing_First Click,I28-Timing_Last Click,I28-Timing_Page Submit,I28-Timing_Click Count,I12,I12-Timing_First Click,I12-Timing_Last Click,I12-Timing_Page Submit,I12-Timing_Click Count,I2,I2-Timing_First Click,I2-Timing_Last Click,I2-Timing_Page Submit,I2-Timing_Click Count,I10,I10-Timing_First Click,I10-Timing_Last Click,I10-Timing_Page Submit,I10-Timing_Click Count,I22,I22-Timing_First Click,I22-Timing_Last Click,I22-Timing_Page Submit,I22-Timing_Click Count,I18,I18-Timing_First Click,I18-Timing_Last Click,I18-Timing_Page Submit,I18-Timing_Click Count,I26,I26-Timing_First Click,I26-Timing_Last Click,I26-Timing_Page Submit,I26-Timing_Click Count,I30,I30-Timing_First Click,I30-Timing_Last Click,I30-Timing_Page Submit,I30-Timing_Click Count,I14,I14-Timing_First Click,I14-Timing_Last Click,I14-Timing_Page Submit,I14-Timing_Click Count,I6,I6-Timing_First Click,I6-Timing_Last Click,I6-Timing_Page Submit,I6-Timing_Click Count,I1,I1-Timing_First Click,I1-Timing_Last Click,I1-Timing_Page Submit,I1-Timing_Click Count,I5,I5-Timing_First Click,I5-Timing_Last Click,I5-Timing_Page Submit,I5-Timing_Click Count,I9,I9-Timing_First Click,I9-Timing_Last Click,I9-Timing_Page Submit,I9-Timing_Click Count,I13,I13-Timing_First Click,I13-Timing_Last Click,I13-Timing_Page Submit,I13-Timing_Click Count,I17,I17-Timing_First Click,I17-Timing_Last Click,I17-Timing_Page Submit,I17-Timing_Click Count,I19,I19-Timing_First Click,I19-Timing_Last Click,I19-Timing_Page Submit,I19-Timing_Click Count,I21,I21-Timing_First Click,I21-Timing_Last Click,I21-Timing_Page Submit,I21-Timing_Click Count,I23,I23-Timing_First Click,I23-Timing_Last Click,I23-Timing_Page Submit,I23-Timing_Click Count,I25,I25-Timing_First Click,I25-Timing_Last Click,I25-Timing_Page Submit,I25-Timing_Click Count,I29,I29-Timing_First Click,I29-Timing_Last Click,I29-Timing_Page Submit,I29-Timing_Click Count,I31,I31-Timing_First Click,I31-Timing_Last Click,I31-Timing_Page Submit,I31-Timing_Click Count,I27,I27-Timing_First Click,I27-Timing_Last Click,I27-Timing_Page Submit,I27-Timing_Click Count,I15,I15-Timing_First Click,I15-Timing_Last Click,I15-Timing_Page Submit,I15-Timing_Click Count,I11,I11-Timing_First Click,I11-Timing_Last Click,I11-Timing_Page Submit,I11-Timing_Click Count,I7,I7-Timing_First Click,I7-Timing_Last Click,I7-Timing_Page Submit,I7-Timing_Click Count,I3,I3-Timing_First Click,I3-Timing_Last Click,I3-Timing_Page Submit,I3-Timing_Click Count,Attend-SS,Attend-SS-Timing_First Click,Attend-SS-Timing_Last Click,Attend-SS-Timing_Page Submit,Attend-SS-Timing_Click Count,Attend-LL,Attend-LL-Timing_First Click,Attend-LL-Timing_Last Click,Attend-LL-Timing_Page Submit,Attend-LL-Timing_Click Count,SC0,SC1,Amount,Currency,Commodity
Response Type,Progress,Duration (in seconds),Finished,Response ID,Distribution Channel,User Language,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,k value,ED50,Amount,Currency,Commodity
"{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID179440184""}","{""ImportId"":""QID179440215_FIRST_CLICK""}","{""ImportId"":""QID179440215_LAST_CLICK""}","{""ImportId"":""QID179440215_PAGE_SUBMIT""}","{""ImportId"":""QID179440215_CLICK_COUNT""}","{""ImportId"":""QID179440185""}","{""ImportId"":""QID179440216_FIRST_CLICK""}","{""ImportId"":""QID179440216_LAST_CLICK""}","{""ImportId"":""QID179440216_PAGE_SUBMIT""}","{""ImportId"":""QID179440216_CLICK_COUNT""}","{""ImportId"":""QID179440186""}","{""ImportId"":""QID179440217_FIRST_CLICK""}","{""ImportId"":""QID179440217_LAST_CLICK""}","{""ImportId"":""QID179440217_PAGE_SUBMIT""}","{""ImportId"":""QID179440217_CLICK_COUNT""}","{""ImportId"":""QID179440187""}","{""ImportId"":""QID179440218_FIRST_CLICK""}","{""ImportId"":""QID179440218_LAST_CLICK""}","{""ImportId"":""QID179440218_PAGE_SUBMIT""}","{""ImportId"":""QID179440218_CLICK_COUNT""}","{""ImportId"":""QID179440188""}","{""ImportId"":""QID179440219_FIRST_CLICK""}","{""ImportId"":""QID179440219_LAST_CLICK""}","{""ImportId"":""QID179440219_PAGE_SUBMIT""}","{""ImportId"":""QID179440219_CLICK_COUNT""}","{""ImportId"":""QID179440189""}","{""ImportId"":""QID179440220_FIRST_CLICK""}","{""ImportId"":""QID179440220_LAST_CLICK""}","{""ImportId"":""QID179440220_PAGE_SUBMIT""}","{""ImportId"":""QID179440220_CLICK_COUNT""}","{""ImportId"":""QID179440190""}","{""ImportId"":""QID179440221_FIRST_CLICK""}","{""ImportId"":""QID179440221_LAST_CLICK""}","{""ImportId"":""QID179440221_PAGE_SUBMIT""}","{""ImportId"":""QID179440221_CLICK_COUNT""}","{""ImportId"":""QID179440191""}","{""ImportId"":""QID179440222_FIRST_CLICK""}","{""ImportId"":""QID179440222_LAST_CLICK""}","{""ImportId"":""QID179440222_PAGE_SUBMIT""}","{""ImportId"":""QID179440222_CLICK_COUNT""}","{""ImportId"":""QID179440192""}","{""ImportId"":""QID179440223_FIRST_CLICK""}","{""ImportId"":""QID179440223_LAST_CLICK""}","{""ImportId"":""QID179440223_PAGE_SUBMIT""}","{""ImportId"":""QID179440223_CLICK_COUNT""}","{""ImportId"":""QID179440193""}","{""ImportId"":""QID179440224_FIRST_CLICK""}","{""ImportId"":""QID179440224_LAST_CLICK""}","{""ImportId"":""QID179440224_PAGE_SUBMIT""}","{""ImportId"":""QID179440224_CLICK_COUNT""}","{""ImportId"":""QID179440194""}","{""ImportId"":""QID179440225_FIRST_CLICK""}","{""ImportId"":""QID179440225_LAST_CLICK""}","{""ImportId"":""QID179440225_PAGE_SUBMIT""}","{""ImportId"":""QID179440225_CLICK_COUNT""}","{""ImportId"":""QID179440195""}","{""ImportId"":""QID179440226_FIRST_CLICK""}","{""ImportId"":""QID179440226_LAST_CLICK""}","{""ImportId"":""QID179440226_PAGE_SUBMIT""}","{""ImportId"":""QID179440226_CLICK_COUNT""}","{""ImportId"":""QID179440196""}","{""ImportId"":""QID179440227_FIRST_CLICK""}","{""ImportId"":""QID179440227_LAST_CLICK""}","{""ImportId"":""QID179440227_PAGE_SUBMIT""}","{""ImportId"":""QID179440227_CLICK_COUNT""}","{""ImportId"":""QID179440197""}","{""ImportId"":""QID179440228_FIRST_CLICK""}","{""ImportId"":""QID179440228_LAST_CLICK""}","{""ImportId"":""QID179440228_PAGE_SUBMIT""}","{""ImportId"":""QID179440228_CLICK_COUNT""}","{""ImportId"":""QID179440198""}","{""ImportId"":""QID179440229_FIRST_CLICK""}","{""ImportId"":""QID179440229_LAST_CLICK""}","{""ImportId"":""QID179440229_PAGE_SUBMIT""}","{""ImportId"":""QID179440229_CLICK_COUNT""}","{""ImportId"":""QID179440199""}","{""ImportId"":""QID179440230_FIRST_CLICK""}","{""ImportId"":""QID179440230_LAST_CLICK""}","{""ImportId"":""QID179440230_PAGE_SUBMIT""}","{""ImportId"":""QID179440230_CLICK_COUNT""}","{""ImportId"":""QID179440200""}","{""ImportId"":""QID179440231_FIRST_CLICK""}","{""ImportId"":""QID179440231_LAST_CLICK""}","{""ImportId"":""QID179440231_PAGE_SUBMIT""}","{""ImportId"":""QID179440231_CLICK_COUNT""}","{""ImportId"":""QID179440201""}","{""ImportId"":""QID179440232_FIRST_CLICK""}","{""ImportId"":""QID179440232_LAST_CLICK""}","{""ImportId"":""QID179440232_PAGE_SUBMIT""}","{""ImportId"":""QID179440232_CLICK_COUNT""}","{""ImportId"":""QID179440202""}","{""ImportId"":""QID179440233_FIRST_CLICK""}","{""ImportId"":""QID179440233_LAST_CLICK""}","{""ImportId"":""QID179440233_PAGE_SUBMIT""}","{""ImportId"":""QID179440233_CLICK_COUNT""}","{""ImportId"":""QID179440203""}","{""ImportId"":""QID179440234_FIRST_CLICK""}","{""ImportId"":""QID179440234_LAST_CLICK""}","{""ImportId"":""QID179440234_PAGE_SUBMIT""}","{""ImportId"":""QID179440234_CLICK_COUNT""}","{""ImportId"":""QID179440204""}","{""ImportId"":""QID179440235_FIRST_CLICK""}","{""ImportId"":""QID179440235_LAST_CLICK""}","{""ImportId"":""QID179440235_PAGE_SUBMIT""}","{""ImportId"":""QID179440235_CLICK_COUNT""}","{""ImportId"":""QID179440205""}","{""ImportId"":""QID179440236_FIRST_CLICK""}","{""ImportId"":""QID179440236_LAST_CLICK""}","{""ImportId"":""QID179440236_PAGE_SUBMIT""}","{""ImportId"":""QID179440236_CLICK_COUNT""}","{""ImportId"":""QID179440206""}","{""ImportId"":""QID179440237_FIRST_CLICK""}","{""ImportId"":""QID179440237_LAST_CLICK""}","{""ImportId"":""QID179440237_PAGE_SUBMIT""}","{""ImportId"":""QID179440237_CLICK_COUNT""}","{""ImportId"":""QID179440207""}","{""ImportId"":""QID179440238_FIRST_CLICK""}","{""ImportId"":""QID179440238_LAST_CLICK""}","{""ImportId"":""QID179440238_PAGE_SUBMIT""}","{""ImportId"":""QID179440238_CLICK_COUNT""}","{""ImportId"":""QID179440208""}","{""ImportId"":""QID179440239_FIRST_CLICK""}","{""ImportId"":""QID179440239_LAST_CLICK""}","{""ImportId"":""QID179440239_PAGE_SUBMIT""}","{""ImportId"":""QID179440239_CLICK_COUNT""}","{""ImportId"":""QID179440209""}","{""ImportId"":""QID179440240_FIRST_CLICK""}","{""ImportId"":""QID179440240_LAST_CLICK""}","{""ImportId"":""QID179440240_PAGE_SUBMIT""}","{""ImportId"":""QID179440240_CLICK_COUNT""}","{""ImportId"":""QID179440210""}","{""ImportId"":""QID179440241_FIRST_CLICK""}","{""ImportId"":""QID179440241_LAST_CLICK""}","{""ImportId"":""QID179440241_PAGE_SUBMIT""}","{""ImportId"":""QID179440241_CLICK_COUNT""}","{""ImportId"":""QID179440211""}","{""ImportId"":""QID179440242_FIRST_CLICK""}","{""ImportId"":""QID179440242_LAST_CLICK""}","{""ImportId"":""QID179440242_PAGE_SUBMIT""}","{""ImportId"":""QID179440242_CLICK_COUNT""}","{""ImportId"":""QID179440212""}","{""ImportId"":""QID179440243_FIRST_CLICK""}","{""ImportId"":""QID179440243_LAST_CLICK""}","{""ImportId"":""QID179440243_PAGE_SUBMIT""}","{""ImportId"":""QID179440243_CLICK_COUNT""}","{""ImportId"":""QID179440213""}","{""ImportId"":""QID179440244_FIRST_CLICK""}","{""ImportId"":""QID179440244_LAST_CLICK""}","{""ImportId"":""QID179440244_PAGE_SUBMIT""}","{""ImportId"":""QID179440244_CLICK_COUNT""}","{""ImportId"":""QID179440214""}","{""ImportId"":""QID179440245_FIRST_CLICK""}","{""ImportId"":""QID179440245_LAST_CLICK""}","{""ImportId"":""QID179440245_PAGE_SUBMIT""}","{""ImportId"":""QID179440245_CLICK_COUNT""}","{""ImportId"":""QID179440247""}","{""ImportId"":""QID179440248_FIRST_CLICK""}","{""ImportId"":""QID179440248_LAST_CLICK""}","{""ImportId"":""QID179440248_PAGE_SUBMIT""}","{""ImportId"":""QID179440248_CLICK_COUNT""}","{""ImportId"":""QID179440249""}","{""ImportId"":""QID179440250_FIRST_CLICK""}","{""ImportId"":""QID179440250_LAST_CLICK""}","{""ImportId"":""QID179440250_PAGE_SUBMIT""}","{""ImportId"":""QID179440250_CLICK_COUNT""}","{""ImportId"":""SC_e425SBa5fbE1Ee9""}","{""ImportId"":""SC_0rzGoC0noKNL4FL""}","{""ImportId"":""Amount""}","{""ImportId"":""Currency""}","{""ImportId"":""Commodity""}"
IP Address,100,29,TRUE,R_2vcwQDBvctIgMKP,anonymous,EN,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,1.761,1.761,3.337,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,7.729,7.729,8.457,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 months,1.558,1.558,3.377,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.333,3.949,4.501,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,3.161,3.161,3.728,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006705787,149.1249355,1000,$,
IP Address,100,23,TRUE,R_50drjfswI9AILkJ,anonymous,EN,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,3.779,3.779,4.351,1,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,1.454,1.454,3.19,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 hours,1.179,1.179,3.144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,0.873,0.873,3.256,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.621,2.621,3.258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.898979486,0.204124145,1000,$,
IP Address,100,29,TRUE,R_1NlCl02kCSs2Y2O,anonymous,EN,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,1.115,1.115,3.272,1,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,0.679,0.679,3.074,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,0.606,0.606,3.044,1,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,0.745,0.745,3.302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,0.924,0.924,4.181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount * 0} ${e://Field/Commodity} now,1.45,1.45,4.181,1,,,,,,33.79795897,0.14372874,1000,$,
IP Address,100,28,TRUE,R_25LbDoLc58tZCxD,anonymous,EN,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,1.011,1.011,3.19,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,1.041,1.041,3.109,1,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 8 years,0.806,0.806,3.113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 18 years,0.822,0.822,3.487,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 25 years,0.914,0.914,3.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount} ${e://Field/Commodity} in 25 years,2.158,2.158,3.573,1,0.000238578,16879.37256,1000,$,
